# This file contains raw data of the electoral college.

ID,Year,State,Votes
1,1788,Alabama,0
2,1788,Alaska,0
3,1788,Arizona,0
4,1788,Arkansas,0
5,1788,California,0
6,1788,Colorado,0
7,1788,Connecticut,7
8,1788,D.C.,0
9,1788,Delaware,3
10,1788,Florida,0
11,1788,Georgia,5
12,1788,Hawaii,0
13,1788,Idaho,0
14,1788,Illinois,0
15,1788,Indiana,0
16,1788,Iowa,0
17,1788,Kansas,0
18,1788,Kentucky,0
19,1788,Louisiana,0
20,1788,Maine,0
21,1788,Maryland,8
22,1788,Massachusetts,10
23,1788,Michigan,0
24,1788,Minnesota,0
25,1788,Mississippi,0
26,1788,Missouri,0
27,1788,Montana,0
28,1788,Nebraska,0
29,1788,Nevada,0
30,1788,New Hampshire,5
31,1788,New Jersey,6
32,1788,New Mexico,0
33,1788,New York,8
34,1788,North Carolina,0
35,1788,North Dakota,0
36,1788,Ohio,0
37,1788,Oklahoma,0
38,1788,Oregon,0
39,1788,Pennsylvania,10
40,1788,Rhode Island,0
41,1788,South Carolina,7
42,1788,South Dakota,0
43,1788,Tennessee,0
44,1788,Texas,0
45,1788,Utah,0
46,1788,Vermont,0
47,1788,Virginia,12
48,1788,Washington,0
49,1788,West Virginia,0
50,1788,Wisconsin,0
51,1788,Wyoming,0
52,1792,Alabama,0
53,1792,Alaska,0
54,1792,Arizona,0
55,1792,Arkansas,0
56,1792,California,0
57,1792,Colorado,0
58,1792,Connecticut,9
59,1792,D.C.,0
60,1792,Delaware,3
61,1792,Florida,0
62,1792,Georgia,4
63,1792,Hawaii,0
64,1792,Idaho,0
65,1792,Illinois,0
66,1792,Indiana,0
67,1792,Iowa,0
68,1792,Kansas,0
69,1792,Kentucky,4
70,1792,Louisiana,0
71,1792,Maine,0
72,1792,Maryland,10
73,1792,Massachusetts,16
74,1792,Michigan,0
75,1792,Minnesota,0
76,1792,Mississippi,0
77,1792,Missouri,0
78,1792,Montana,0
79,1792,Nebraska,0
80,1792,Nevada,0
81,1792,New Hampshire,6
82,1792,New Jersey,7
83,1792,New Mexico,0
84,1792,New York,12
85,1792,North Carolina,12
86,1792,North Dakota,0
87,1792,Ohio,0
88,1792,Oklahoma,0
89,1792,Oregon,0
90,1792,Pennsylvania,15
91,1792,Rhode Island,4
92,1792,South Carolina,8
93,1792,South Dakota,0
94,1792,Tennessee,0
95,1792,Texas,0
96,1792,Utah,0
97,1792,Vermont,4
98,1792,Virginia,21
99,1792,Washington,0
100,1792,West Virginia,0
101,1792,Wisconsin,0
102,1792,Wyoming,0
103,1796,Alabama,0
104,1796,Alaska,0
105,1796,Arizona,0
106,1796,Arkansas,0
107,1796,California,0
108,1796,Colorado,0
109,1796,Connecticut,9
110,1796,D.C.,0
111,1796,Delaware,3
112,1796,Florida,0
113,1796,Georgia,4
114,1796,Hawaii,0
115,1796,Idaho,0
116,1796,Illinois,0
117,1796,Indiana,0
118,1796,Iowa,0
119,1796,Kansas,0
120,1796,Kentucky,4
121,1796,Louisiana,0
122,1796,Maine,0
123,1796,Maryland,10
124,1796,Massachusetts,16
125,1796,Michigan,0
126,1796,Minnesota,0
127,1796,Mississippi,0
128,1796,Missouri,0
129,1796,Montana,0
130,1796,Nebraska,0
131,1796,Nevada,0
132,1796,New Hampshire,6
133,1796,New Jersey,7
134,1796,New Mexico,0
135,1796,New York,12
136,1796,North Carolina,12
137,1796,North Dakota,0
138,1796,Ohio,0
139,1796,Oklahoma,0
140,1796,Oregon,0
141,1796,Pennsylvania,15
142,1796,Rhode Island,4
143,1796,South Carolina,8
144,1796,South Dakota,0
145,1796,Tennessee,3
146,1796,Texas,0
147,1796,Utah,0
148,1796,Vermont,4
149,1796,Virginia,21
150,1796,Washington,0
151,1796,West Virginia,0
152,1796,Wisconsin,0
153,1796,Wyoming,0
154,1800,Alabama,0
155,1800,Alaska,0
156,1800,Arizona,0
157,1800,Arkansas,0
158,1800,California,0
159,1800,Colorado,0
160,1800,Connecticut,9
161,1800,D.C.,0
162,1800,Delaware,3
163,1800,Florida,0
164,1800,Georgia,4
165,1800,Hawaii,0
166,1800,Idaho,0
167,1800,Illinois,0
168,1800,Indiana,0
169,1800,Iowa,0
170,1800,Kansas,0
171,1800,Kentucky,4
172,1800,Louisiana,0
173,1800,Maine,0
174,1800,Maryland,10
175,1800,Massachusetts,16
176,1800,Michigan,0
177,1800,Minnesota,0
178,1800,Mississippi,0
179,1800,Missouri,0
180,1800,Montana,0
181,1800,Nebraska,0
182,1800,Nevada,0
183,1800,New Hampshire,6
184,1800,New Jersey,7
185,1800,New Mexico,0
186,1800,New York,12
187,1800,North Carolina,12
188,1800,North Dakota,0
189,1800,Ohio,0
190,1800,Oklahoma,0
191,1800,Oregon,0
192,1800,Pennsylvania,15
193,1800,Rhode Island,4
194,1800,South Carolina,8
195,1800,South Dakota,0
196,1800,Tennessee,3
197,1800,Texas,0
198,1800,Utah,0
199,1800,Vermont,4
200,1800,Virginia,21
201,1800,Washington,0
202,1800,West Virginia,0
203,1800,Wisconsin,0
204,1800,Wyoming,0
205,1804,Alabama,0
206,1804,Alaska,0
207,1804,Arizona,0
208,1804,Arkansas,0
209,1804,California,0
210,1804,Colorado,0
211,1804,Connecticut,9
212,1804,D.C.,0
213,1804,Delaware,3
214,1804,Florida,0
215,1804,Georgia,6
216,1804,Hawaii,0
217,1804,Idaho,0
218,1804,Illinois,0
219,1804,Indiana,0
220,1804,Iowa,0
221,1804,Kansas,0
222,1804,Kentucky,8
223,1804,Louisiana,0
224,1804,Maine,0
225,1804,Maryland,11
226,1804,Massachusetts,19
227,1804,Michigan,0
228,1804,Minnesota,0
229,1804,Mississippi,0
230,1804,Missouri,0
231,1804,Montana,0
232,1804,Nebraska,0
233,1804,Nevada,0
234,1804,New Hampshire,7
235,1804,New Jersey,8
236,1804,New Mexico,0
237,1804,New York,19
238,1804,North Carolina,14
239,1804,North Dakota,0
240,1804,Ohio,3
241,1804,Oklahoma,0
242,1804,Oregon,0
243,1804,Pennsylvania,20
244,1804,Rhode Island,4
245,1804,South Carolina,10
246,1804,South Dakota,0
247,1804,Tennessee,5
248,1804,Texas,0
249,1804,Utah,0
250,1804,Vermont,6
251,1804,Virginia,24
252,1804,Washington,0
253,1804,West Virginia,0
254,1804,Wisconsin,0
255,1804,Wyoming,0
256,1808,Alabama,0
257,1808,Alaska,0
258,1808,Arizona,0
259,1808,Arkansas,0
260,1808,California,0
261,1808,Colorado,0
262,1808,Connecticut,9
263,1808,D.C.,0
264,1808,Delaware,3
265,1808,Florida,0
266,1808,Georgia,6
267,1808,Hawaii,0
268,1808,Idaho,0
269,1808,Illinois,0
270,1808,Indiana,0
271,1808,Iowa,0
272,1808,Kansas,0
273,1808,Kentucky,8
274,1808,Louisiana,0
275,1808,Maine,0
276,1808,Maryland,11
277,1808,Massachusetts,19
278,1808,Michigan,0
279,1808,Minnesota,0
280,1808,Mississippi,0
281,1808,Missouri,0
282,1808,Montana,0
283,1808,Nebraska,0
284,1808,Nevada,0
285,1808,New Hampshire,7
286,1808,New Jersey,8
287,1808,New Mexico,0
288,1808,New York,19
289,1808,North Carolina,14
290,1808,North Dakota,0
291,1808,Ohio,3
292,1808,Oklahoma,0
293,1808,Oregon,0
294,1808,Pennsylvania,20
295,1808,Rhode Island,4
296,1808,South Carolina,10
297,1808,South Dakota,0
298,1808,Tennessee,5
299,1808,Texas,0
300,1808,Utah,0
301,1808,Vermont,6
302,1808,Virginia,24
303,1808,Washington,0
304,1808,West Virginia,0
305,1808,Wisconsin,0
306,1808,Wyoming,0
307,1812,Alabama,0
308,1812,Alaska,0
309,1812,Arizona,0
310,1812,Arkansas,0
311,1812,California,0
312,1812,Colorado,0
313,1812,Connecticut,9
314,1812,D.C.,0
315,1812,Delaware,4
316,1812,Florida,0
317,1812,Georgia,8
318,1812,Hawaii,0
319,1812,Idaho,0
320,1812,Illinois,0
321,1812,Indiana,0
322,1812,Iowa,0
323,1812,Kansas,0
324,1812,Kentucky,12
325,1812,Louisiana,3
326,1812,Maine,0
327,1812,Maryland,11
328,1812,Massachusetts,22
329,1812,Michigan,0
330,1812,Minnesota,0
331,1812,Mississippi,0
332,1812,Missouri,0
333,1812,Montana,0
334,1812,Nebraska,0
335,1812,Nevada,0
336,1812,New Hampshire,8
337,1812,New Jersey,8
338,1812,New Mexico,0
339,1812,New York,29
340,1812,North Carolina,15
341,1812,North Dakota,0
342,1812,Ohio,8
343,1812,Oklahoma,0
344,1812,Oregon,0
345,1812,Pennsylvania,25
346,1812,Rhode Island,4
347,1812,South Carolina,11
348,1812,South Dakota,0
349,1812,Tennessee,8
350,1812,Texas,0
351,1812,Utah,0
352,1812,Vermont,8
353,1812,Virginia,25
354,1812,Washington,0
355,1812,West Virginia,0
356,1812,Wisconsin,0
357,1812,Wyoming,0
358,1816,Alabama,0
359,1816,Alaska,0
360,1816,Arizona,0
361,1816,Arkansas,0
362,1816,California,0
363,1816,Colorado,0
364,1816,Connecticut,9
365,1816,D.C.,0
366,1816,Delaware,4
367,1816,Florida,0
368,1816,Georgia,8
369,1816,Hawaii,0
370,1816,Idaho,0
371,1816,Illinois,0
372,1816,Indiana,3
373,1816,Iowa,0
374,1816,Kansas,0
375,1816,Kentucky,12
376,1816,Louisiana,3
